geonum,non_white_nh_index,pop
1080310023001.0,3.789138532616791,2148.0
1080310036031.0,6.05838074488749,1047.0
1080310036013.0,2.581563732722651,1717.0
1080050822003.0,5.941344957064638,2534.0
1080050822004.0,5.063649671388408,1713.0
1080050826002.0,5.5934997807138735,797.0
1080050068153.0,2.659289561644514,2232.0
1080050811001.0,2.713576980574148,690.0
1080050838001.0,2.5186121262248173,1679.0
1080410065011.0,3.385220902522945,2092.0
1080310014021.0,4.314793406313741,1414.0
1080310042021.0,4.749722542467303,834.0
1080310068133.0,2.945766535943498,1375.0
1080010080003.0,4.194579284782266,1245.0
1081230010033.0,2.5263863944626914,1210.0
1080050071043.0,3.0876677939822126,2801.0
1080050814002.0,3.9011514868118136,1035.0
1080410028002.0,3.906816904559002,1829.0
1080410057004.0,2.747398180193979,1567.0
1080410045062.0,4.401506159721423,1172.0
1080310002021.0,3.984693067758252,553.0
1080310036025.0,3.713504091290978,1053.0
1080010078012.0,5.655735275628507,2430.0
1080050863003.0,3.492206080962708,1634.0
1080050847002.0,3.3705424284897965,1402.0
1080050802002.0,4.263349838788412,2169.0
1080050067131.0,3.839143188086325,1629.0
1080050868003.0,3.09564152679969,1724.0
1080050873001.0,4.179971100131701,2066.0
1080410054004.0,4.509442795706311,1288.0
1080310041023.0,5.927560321634071,1083.0
1080310021004.0,3.436740509018151,719.0
1080310083892.0,4.76164841605749,3012.0
1080010085264.0,2.5762649565881626,707.0
1080459517013.0,2.6252240301239227,1048.0
1080739617002.0,2.9250350478686866,2395.0
1080050068541.0,2.9694603387821474,2994.0
1080050862003.0,3.335824325139378,2795.0
1080050061002.0,2.894166491069418,889.0
1080050831002.0,4.953354805809953,2628.0
1080050801001.0,3.593423355466288,1113.0
1080050068552.0,3.8222008932578606,2446.0
1080050073012.0,4.171108341829129,1081.0
1080050873004.0,2.835121011134619,1833.0
1080410030001.0,2.5380969263441147,818.0
1080839411001.0,10.80568235171388,943.0
1080350140084.0,2.6489780155334754,3688.0
1080310083861.0,3.382167840672258,2768.0
1080140308004.0,3.060528158662989,1698.0
1080010080005.0,2.672314105319319,1020.0
1080010080004.0,5.078670705305523,943.0
1080050835004.0,4.200565321644306,2632.0
1080050073022.0,2.895231584647827,1399.0
1080310044032.0,3.0330176173962946,1726.0
1080310070062.0,3.5993178113674107,2555.0
1080310050021.0,2.9453791359797714,813.0
1080050868002.0,5.81552207762333,2326.0
1080050077022.0,2.9368978010817335,1596.0
1080050827001.0,3.471510847097059,1530.0
1080050808002.0,2.6335689121731534,769.0
1080050820003.0,3.4292456347915055,1170.0
1080410040081.0,3.5602378784762205,3134.0
1080410053002.0,2.6252240301239227,1048.0
1080310068142.0,5.153993128514986,1379.0
1080310070884.0,3.7094655688607805,1243.0
1080310050024.0,5.254455939505731,3081.0
1080010083091.0,6.627485175717847,246.0
1080050863002.0,2.859263135683303,2410.0
1080050869001.0,5.436223494784691,1209.0
1080050073011.0,3.276130447223151,1283.0
1080050801003.0,4.317381988753213,2074.0
1080050802004.0,2.85266279402406,1085.0
1080410037082.0,2.750756391154018,852.0
1080410033081.0,3.156827130022074,2550.0
1080439802001.0,4.295258734806267,2829.0
1080310041024.0,8.057484127085933,1399.0
1080140309003.0,2.713767286835497,1164.0
1080010082001.0,2.8771448636572723,2457.0
1080010093091.0,2.5749671023706204,2221.0
1080050073021.0,4.398506101154243,1862.0
1080050830001.0,5.067086513508166,3758.0
1080050812001.0,3.718142983012904,1867.0
1080050831001.0,3.041269516029211,423.0
1080130606003.0,3.9773495879664225,2895.0
1080310068143.0,4.784846010040005,2465.0
1080310068102.0,3.4393221927680737,2285.0
1080410045101.0,3.804544460619893,4523.0
1080870006004.0,2.679041660917771,1897.0
1080310120101.0,3.027636910445316,1809.0
1080140314001.0,3.94159711113162,1047.0
1080050835002.0,3.491137801341735,934.0
1080050828004.0,4.740067182429049,919.0
1080050826003.0,4.424653088821451,878.0
1080050829002.0,2.8925508542709424,2554.0
1080410053001.0,3.1503839018524165,845.0
1080310068041.0,3.1289891045563047,1209.0
1080310041031.0,5.050131230587383,797.0
1080310083043.0,4.007037192533205,836.0
1080310041011.0,2.8404199989205945,2565.0
1080310083053.0,3.112604690871399,1821.0
1080310083122.0,4.288836575878958,2955.0
1080310041032.0,5.826740333527351,905.0
1080010092043.0,2.8006665481446236,2183.0
1080010083081.0,5.625734928298666,1526.0
